Pillar / Cluster,Term Offered,Terms,Terms(1),Terms(2),Subject Code,"""Subject Title (click on link for subject desciption and information)""",Instructor Names Anonymized
HASS,Summer 2024,5,,,02.108DH,"Modern China: Pluralism, and Beyond Territoriality",Jeremy Cheong
HASS,Summer 2024,5,,,02.120DH,History of Traditional Chinese Short Fiction,Gavin Teo
HASS,Summer 2024,5,,,02.201TS,Digital Sociology,Jonathan Lee
HASS,Summer 2024,5,,,02.110DH,"The Chinese Lyrical Tradition: Arts, Literature and Landscape Design",Gavin Teo
HASS,Fall 2024,7,,,02.001,"Global Humanities: Literature, Philosophy, and Ethics",Winston Lim
HASS,Fall 2024,7,,,02.003,"Social Science: Understanding Behaviour, Culture & Society",Winston Lim
HASS,Fall 2024,7,,,02.146,Financing Cities of the Future: Theory and Practice,Louis Teo
HASS,Fall 2024,7,,,02.168,International Business,Jin Zhang
HASS,Fall 2024,7,,,02.169,Leadership and Organisation Management ,Amelia Blackwood
HASS,Fall 2024,7,,,02.208,Microeconomics,Winston Lim
HASS,Fall 2024,7,,,02.211,Critical Management Studies,Lucien Moreau
HASS,Fall 2024,7,,,02.218TS,Introduction to Psychology,Angela Soh
HASS,Fall 2024,7,,,02.302,Business Culture and Entrepeneurship in China,Cheng Wei Low
HASS,Fall 2024,7,,,02.110DH,"The Chinese Lyrical Tradition: Arts, Literature and Landscape Design",Gavin Teo
HASS,Fall 2024,7,,,02.148HT,Geographies of Money and Finance,Paul Koh
HASS,Fall 2024,7,,,02.152TS,Urban Theory,Joshua Lau
HASS,Fall 2024,7,,,02.156DH,Games of Histories,Michael Lee
HASS,Fall 2024,7,,,02.167HT,Fashion: East and West (Special Topics),Ethan Tan
HASS,Fall 2024,7,,,02.170HT,History of Surveillance in Modern Asia,Praveen Raj
HASS,Fall 2024,7,,,02.172DH,"Imagine Dragons: Monsters and Outcasts in Literature, from Beowulf to Murakami",Chen Yi Fan
HASS,Fall 2024,7,,,02.230HT,Health Communication and Behaviour Change,Michael Chew
HASS,Spring 2025,6,,,02.235TS,Global Politics and Society,Michael Lee
ISTD,Spring 2025,4,,,50.001,Information Systems & Programming,Jennifer Tan
ISTD,Spring 2025,4,,,50.002,Computation Structures,Rebecca Tay
ISTD,Spring 2025,4,,,50.004,Algorithms,Boon Chye Lim
ISTD,Spring 2025,6,,,50.007,Machine Learning,Zachary Tan
ISTD,Spring 2025,6,,,50.012,Networks,Chiara Bianchi
ISTD,Spring 2025,6,", 8",,50.017,Graphics and Visualisation,Li Rui
ISTD,Spring 2025,6,", 8",,50.021,Artificial Intelligence,Jane Lim
ISTD,Spring 2025,6,", 8",,50.038,Computational Data Science,Nicholas Lim
ISTD,Spring 2025,6,", 8",,50.039,Theory and Practice of Deep Learning,Mei Lin
ISTD,Spring 2025,6,", 8",,50.043,Database Systems,Jane Davis
ISTD,Spring 2025,6,", 8",,50.044,System Security,John Lim
ISTD,Spring 2025,6,", 8",,50.050,Discrete Mathematics and Algorithm Design,Benjamin Lee
ISTD,Spring 2025,6,", 8",,50.051,Programming Language Concepts,Grace Low
ISTD,Spring 2025,6,", 8",,50.053,Software Testing and Verification,John Smith
ISTD,Spring 2025,6,", 8",,50.056,Software Abstraction Using Functional Programming,Ganesh Raju
ISTD,Spring 2025,8,,,50.033,Foundations of Game Design and Development,Rachel Tan
ISTD,Spring 2025,8,,,50.047,Mobile Robotics,Nathan Hall
ISTD,Spring 2025,8,,,50.055,Special Topic: Machine Learning Operations,Ryan Chua
